SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC1C=C(C(=O)C2=NN=C(S2)N)C(=CC=1O)Cl;2/000000033;InChI=1S/C9H6ClN3O3S/c10-4-2-6(15)5(14)1-3(4)7(16)8-12-13-9(11)17-8/h1-2,14-15H,(H2,11,13);C9H6N3O3SCl;271;1.82;3.09;-2.39;2.22;-20
OC1=CC=C(C=C1)C1=CC=C(C(=C1)O)F;2/000000012;InChI=1S/C12H9FO2/c13-11-6-3-9(7-12(11)15)8-1-4-10(14)5-2-8/h1-7,14-15H;C12H9O2F;204;3.31;3.18;-0.93;1.00;-160
SC1=CC(N(=O)=O)=CC(=C1)[C@H](CCOC)N;2/000000054;InChI=1S/C10H14N2O3S/c1-15-3-2-10(11)7-4-8(12(13)14)6-9(16)5-7/h4-6,10,16H,2-3,11H2,1H3/t10-/m0/s1;C10H14N2O3S;242;1.68;3.28;-5.38;2.48;-170
OC1=C(O)C=C(C(=C1)Cl)C(=O)O[C@@H](/C=C/N)C=C;2/000000048;InChI=1S/C12H12ClNO4/c1-2-7(3-4-14)18-12(17)8-5-10(15)11(16)6-9(8)13/h2-7,15-16H,1,14H2/b4-3+/t7-/m1/s1;C12H12NO4Cl;269;2.12;3.84;-2.11;3.85;-150
O[C@@H](CCl)C1=CON=C1O;2/000000005;InChI=1S/C5H6ClNO3/c6-1-4(8)3-2-10-7-5(3)9/h2,4,8H,1H2,(H,7,9)/t4-/m0/s1;C5H6NO3Cl;163;0.64;3.01;5.36;1.00;-150
OC1=CC=C(C=C1)C1=CC=C(C(=C1)O)F;2/000000011;InChI=1S/C12H9FO2/c13-11-6-3-9(7-12(11)15)8-1-4-10(14)5-2-8/h1-7,14-15H;C12H9O2F;204;3.31;3.15;-0.66;1.00;-160
O[C@@H](CCl)C1=CON=C1O;2/000000019;InChI=1S/C5H6ClNO3/c6-1-4(8)3-2-10-7-5(3)9/h2,4,8H,1H2,(H,7,9)/t4-/m0/s1;C5H6NO3Cl;163;0.64;3.01;5.36;1.00;-150
OC1=CC=C(C=C1)C(=C)C(=O)C1=CNCS1;2/000000052;InChI=1S/C12H11NO2S/c1-8(9-2-4-10(14)5-3-9)12(15)11-6-13-7-16-11/h2-6,13-14H,1,7H2;C12H11NO2S;233;1.92;3.01;-0.41;2.22;0
SS[C@@H]1C=CC=C1C(=O)C1C(Cl)=CC(=C(C=1)O)O;2/000000041;InChI=1S/C12H9ClO3S2/c13-8-5-10(15)9(14)4-7(8)12(16)6-2-1-3-11(6)18-17/h1-5,11,14-15,17H/t11-/m1/s1;C12H9O3S2Cl;300;2.33;3.42;-3.14;2.22;-150
OC1=CC=C(C=C1)C(=C)C(=O)C1C=CC=C(C=1Br)C(=O)NN;2/000000016;InChI=1S/C16H13BrN2O3/c1-9(10-5-7-11(20)8-6-10)15(21)12-3-2-4-13(14(12)17)16(22)19-18/h2-8,20H,1,18H2,(H,19,22);C16H13N2O3Br;361;2.81;4.02;-2.42;3.58;-34
