SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC1=CC=C(C=C1)C(=C)/C=C/C[C@H](C)N;3/000000166;InChI=1S/C13H17NO/c1-10(4-3-5-11(2)14)12-6-8-13(15)9-7-12/h3-4,6-9,11,15H,1,5,14H2,2H3/b4-3+/t11-/m0/s1;C13H17NO;203;2.39;3.16;-9.65;3.58;-190
OC1=CC=C(C=C1)C(=C)/C=C/[C@H]1SCCNC1;3/000000055;InChI=1S/C14H17NOS/c1-11(12-3-5-13(16)6-4-12)2-7-14-10-15-8-9-17-14/h2-7,14-16H,1,8-10H2/b7-2+/t14-/m1/s1;C14H17NOS;247;2.59;3.07;-9.06;3.58;-150
OC1=CC=CC(=C1)/C=C/[C@H](CCCN)C(=O)OC;3/000000333;InChI=1S/C14H19NO3/c1-18-14(17)12(5-3-9-15)8-7-11-4-2-6-13(16)10-11/h2,4,6-8,10,12,16H,3,5,9,15H2,1H3/b8-7+/t12-/m0/s1;C14H19NO3;249;1.70;3.31;-4.40;3.58;-190
C(=S)C1C2=C(NC=C2)C=C(C=1)[S@@](=O)CC/C=C/[C@@H]1NCCC1;3/000000185;InChI=1S/C17H20N2OS2/c20-22(9-2-1-4-14-5-3-7-18-14)15-10-13(12-21)16-6-8-19-17(16)11-15/h1,4,6,8,10-12,14,18-19H,2-3,5,7,9H2/b4-1+/t14-,22-/m0/s1;C17H20N2OS2;332;1.75;3.97;-4.45;22.30;-190
C#C[C@@H](C1=CC=C(C=C1)O)C1=NNN=N1;3/000000118;InChI=1S/C10H8N4O/c1-2-9(10-11-13-14-12-10)7-3-5-8(15)6-4-7/h1,3-6,9,15H,(H,11,12,13,14)/t9-/m0/s1;C10H8N4O;200;2.05;3.14;-8.28;18.60;-150
OC1=CC=CC(=C1)[C@H](CCCCC)NCO;3/000000126;InChI=1S/C13H21NO2/c1-2-3-4-8-13(14-10-15)11-6-5-7-12(16)9-11/h5-7,9,13-16H,2-4,8,10H2,1H3/t13-/m0/s1;C13H21NO2;223;2.51;3.10;-7.43;3.58;-170
OC1=CC=C(C=C1)C(=C)/C=C/[C@H]1SCCNC1;3/000000056;InChI=1S/C14H17NOS/c1-11(12-3-5-13(16)6-4-12)2-7-14-10-15-8-9-17-14/h2-7,14-16H,1,8-10H2/b7-2+/t14-/m1/s1;C14H17NOS;247;2.59;3.19;-9.12;3.58;-150
OC1=CC=C(C=C1)C(=C)/C=C\C1=CCN=CN1;3/000000144;InChI=1S/C14H14N2O/c1-11(12-3-6-14(17)7-4-12)2-5-13-8-9-15-10-16-13/h2-8,10,17H,1,9H2,(H,15,16)/b5-2-;C14H14N2O;226;2.46;3.19;-8.54;3.58;-60
OC1=CC=CC(=C1)/C=C/[C@H](CS(=O)(=O)O)C;3/000000252;InChI=1S/C11H14O4S/c1-9(8-16(13,14)15)5-6-10-3-2-4-11(12)7-10/h2-7,9,12H,8H2,1H3,(H,13,14,15)/b6-5+/t9-/m1/s1;C11H14O4S;242;1.39;3.70;-3.89;3.58;-170
OC1C(SC)=CC(=CC=1)C1=C(Cl)C=NN1;3/000000111;InChI=1S/C10H9ClN2OS/c1-15-9-4-6(2-3-8(9)14)10-7(11)5-12-13-10/h2-5,14H,1H3,(H,12,13);C10H9N2OSCl;240;3.62;3.41;-4.52;2.22;-140
OC1=CC=C(C=C1)C(=C)/C=C/[C@H]1SCCNC1;3/000000062;InChI=1S/C14H17NOS/c1-11(12-3-5-13(16)6-4-12)2-7-14-10-15-8-9-17-14/h2-7,14-16H,1,8-10H2/b7-2+/t14-/m1/s1;C14H17NOS;247;2.59;3.09;-11.29;3.58;-150
OC1=CC=C(C=C1)C(=C)/C=C(/CC)\C1=CSC(=O)N1;3/000000275;InChI=1S/C15H15NO2S/c1-3-11(14-9-19-15(18)16-14)8-10(2)12-4-6-13(17)7-5-12/h4-9,17H,2-3H2,1H3,(H,16,18)/b11-8-;C15H15NO2S;273;2.85;3.58;-12.80;3.58;-80
OC1=CC=C(C=C1)C(=C)/C=C/C[C@H](C)N;3/000000170;InChI=1S/C13H17NO/c1-10(4-3-5-11(2)14)12-6-8-13(15)9-7-12/h3-4,6-9,11,15H,1,5,14H2,2H3/b4-3+/t11-/m0/s1;C13H17NO;203;2.39;3.18;-10.19;3.58;-170
OC(=O)CC1C(C(=C)/C=C/CC)=CC=C(C=1)O;3/000000332;InChI=1S/C14H16O3/c1-3-4-5-10(2)13-7-6-12(15)8-11(13)9-14(16)17/h4-8,15H,2-3,9H2,1H3,(H,16,17)/b5-4+;C14H16O3;232;2.56;3.24;-9.22;3.58;-20
OC1=CC=C(C=C1)C(=C)/C=C/C[C@H](C)N;3/000000167;InChI=1S/C13H17NO/c1-10(4-3-5-11(2)14)12-6-8-13(15)9-7-12/h3-4,6-9,11,15H,1,5,14H2,2H3/b4-3+/t11-/m0/s1;C13H17NO;203;2.39;3.15;-10.24;3.58;-190
OC1=CC=CC(=C1)CSCC1=NC(=CN1)Cl;3/000000340;InChI=1S/C11H11ClN2OS/c12-10-5-13-11(14-10)7-16-6-8-2-1-3-9(15)4-8/h1-5,15H,6-7H2,(H,13,14);C11H11N2OSCl;254;2.69;3.19;-7.48;15.70;-20
OC1=CC=C(C=C1)C(=C)/C=C/C[C@H](C)N;3/000000161;InChI=1S/C13H17NO/c1-10(4-3-5-11(2)14)12-6-8-13(15)9-7-12/h3-4,6-9,11,15H,1,5,14H2,2H3/b4-3+/t11-/m0/s1;C13H17NO;203;2.39;3.21;-8.90;3.58;-170
OC1=CC=CC(=C1)/C=C/CC1=CNCC=N1;3/000000240;InChI=1S/C13H14N2O/c16-13-6-2-4-11(9-13)3-1-5-12-10-14-7-8-15-12/h1-4,6,8-10,14,16H,5,7H2/b3-1+;C13H14N2O;214;2.02;3.09;-5.39;2.22;0
OC1=CC=C(C(=C1)C1=CC(Cl)=CC(=C1O)Cl)CC(=O)C;3/000000076;InChI=1S/C15H12Cl2O3/c1-8(18)4-9-2-3-11(19)7-12(9)13-5-10(16)6-14(17)15(13)20/h2-3,5-7,19-20H,4H2,1H3;C15H12O3Cl2;310;4.09;4.54;-6.86;15.00;-180
C1=CNC2=C1C=CC(=C2)[S@@](=O)CC/C=C/[C@@H]1NCCC1;3/000000029;InChI=1S/C16H20N2OS/c19-20(11-2-1-4-14-5-3-9-17-14)15-7-6-13-8-10-18-16(13)12-15/h1,4,6-8,10,12,14,17-18H,2-3,5,9,11H2/b4-1+/t14-,20-/m0/s1;C16H20N2OS;288;1.80;3.86;-1.77;18.00;-190
S[C@@](CS=O)(C)C1=NN=CN1;3/000000002;InChI=1S/C5H9N3OS2/c1-5(10,2-11-9)4-6-3-7-8-4/h3,10-11H,2H2,1H3,(H,6,7,8)/t5-/m1/s1;C5H9N3OS2;191;-0.02;3.25;-3.00;2.22;-170
OC1=CC=C(C(=C1)C[NH3+])C1=NN=C(S1)N;3/000000245;InChI=1S/C9H10N4OS/c10-4-5-3-6(14)1-2-7(5)8-12-13-9(11)15-8/h1-3,14H,4,10H2,(H2,11,13)/p+1;C9H11N4OS;223;1.11;3.08;-6.73;16.20;-140
OC1=CC=C(C=C1)CC#CC1C(I)=CN=C(C=1Cl)N;3/000000131;InChI=1S/C14H10ClIN2O/c15-13-11(12(16)8-18-14(13)17)3-1-2-9-4-6-10(19)7-5-9/h4-8,19H,2H2,(H2,17,18);C14H10N2OClI;384;4.38;4.04;-7.02;16.40;0
OC1=CC=C(C=C1)/C(=C\C(N)N)/C=C;3/000000152;InChI=1S/C11H14N2O/c1-2-8(7-11(12)13)9-3-5-10(14)6-4-9/h2-7,11,14H,1,12-13H2/b8-7-;C11H14N2O;190;1.24;3.15;-6.60;3.58;-150
OC1=CC=C(C(=C1)C1=NNC(=S)O1)C(=C)/C=C/CC;3/000000269;InChI=1S/C14H14N2O2S/c1-3-4-5-9(2)11-7-6-10(17)8-12(11)13-15-16-14(19)18-13/h4-8,17H,2-3H2,1H3,(H,16,19)/b5-4+;C14H14N2O2S;274;3.87;3.82;-13.18;20.10;-140
OC1=CC=C(C(=C1)C1=NNC(=S)O1)C(=C)/C=C/CC;3/000000271;InChI=1S/C14H14N2O2S/c1-3-4-5-9(2)11-7-6-10(17)8-12(11)13-15-16-14(19)18-13/h4-8,17H,2-3H2,1H3,(H,16,19)/b5-4+;C14H14N2O2S;274;3.87;3.87;-9.81;20.10;-140
S(=O)C1=C(F)C=C(C=C1Cl)CCCNN;3/000000043;InChI=1S/C9H12ClFN2OS/c10-7-4-6(2-1-3-13-12)5-8(11)9(7)15-14/h4-5,13,15H,1-3,12H2;C9H12N2OSFCl;250;0.40;3.46;-9.33;2.48;-20
OC1=CC=C(C=C1)C(=C)/C=C/C1=CN=CN1;3/000000179;InChI=1S/C13H12N2O/c1-10(2-5-12-8-14-9-15-12)11-3-6-13(16)7-4-11/h2-9,16H,1H2,(H,14,15)/b5-2+;C13H12N2O;212;2.21;3.26;-8.93;3.58;0
OC1=CC=CC(=C1)/C=C/CNN;3/000000283;InChI=1S/C9H12N2O/c10-11-6-2-4-8-3-1-5-9(12)7-8/h1-5,7,11-12H,6,10H2/b4-2+;C9H12N2O;164;1.12;3.12;-4.91;2.22;0
SC1=NN=C(N1)CCC1=CSC=N1;3/000000196;InChI=1S/C7H8N4S2/c12-7-9-6(10-11-7)2-1-5-3-13-4-8-5/h3-4H,1-2H2,(H2,9,10,11,12);C7H8N4S2;212;2.27;3.27;-2.27;2.22;0
OC1=CC=C(C=C1)C(=C)/C=C/[C@H]1C(=O)N(C1)C(=O)N;3/000000065;InChI=1S/C14H14N2O3/c1-9(10-4-6-12(17)7-5-10)2-3-11-8-16(13(11)18)14(15)19/h2-7,11,17H,1,8H2,(H2,15,19)/b3-2+/t11-/m1/s1;C14H14N2O3;258;0.58;3.56;-10.35;3.58;-170
OC1=CC=C(C=C1[C@H](CC1=CSN=C1)O)C(=C)C=C;3/000000317;InChI=1S/C15H15NO2S/c1-3-10(2)12-4-5-14(17)13(7-12)15(18)6-11-8-16-19-9-11/h3-5,7-9,15,17-18H,1-2,6H2/t15-/m0/s1;C15H15NO2S;273;2.62;4.18;-5.86;19.10;-150
OC1=CC=C(C(=C1)C[C@@H](C)S)NC1=NCCO1;3/000000068;InChI=1S/C12H16N2O2S/c1-8(17)6-9-7-10(15)2-3-11(9)14-12-13-4-5-16-12/h2-3,7-8,15,17H,4-6H2,1H3,(H,13,14)/t8-/m1/s1;C12H16N2O2S;252;2.33;3.25;-7.66;14.80;-170
OC1=CC=C(C=C1)C1=CCC=CN1CCC(=O)N;3/000000376;InChI=1S/C14H16N2O2/c15-14(18)8-10-16-9-2-1-3-13(16)11-4-6-12(17)7-5-11/h2-7,9,17H,1,8,10H2,(H2,15,18);C14H16N2O2;244;1.96;3.30;-5.37;3.58;-180
OC1=CC=CC(=C1)/C=C/CNN;3/000000284;InChI=1S/C9H12N2O/c10-11-6-2-4-8-3-1-5-9(12)7-8/h1-5,7,11-12H,6,10H2/b4-2+;C9H12N2O;164;1.12;3.02;-5.22;2.22;0
OC1=CC=CC(=C1)CSCC1=NC(=CN1)Cl;3/000000337;InChI=1S/C11H11ClN2OS/c12-10-5-13-11(14-10)7-16-6-8-2-1-3-9(15)4-8/h1-5,15H,6-7H2,(H,13,14);C11H11N2OSCl;254;2.69;3.18;-9.10;15.70;-20
OC1=CC=C(C=C1)C(=C)/C=C/C1=CN=CN1;3/000000174;InChI=1S/C13H12N2O/c1-10(2-5-12-8-14-9-15-12)11-3-6-13(16)7-4-11/h2-9,16H,1H2,(H,14,15)/b5-2+;C13H12N2O;212;2.21;3.26;-8.80;3.58;0
SCCCC(=O)NOCC1=CC(O)=CC=C1C(=C)C=C;3/000000294;InChI=1S/C15H19NO3S/c1-3-11(2)14-7-6-13(17)9-12(14)10-19-16-15(18)5-4-8-20/h3,6-7,9,17,20H,1-2,4-5,8,10H2,(H,16,18);C15H19NO3S;293;2.98;3.75;-8.05;5.09;-40
O[C@H](C(=O)NOCC1=CC(O)=CC=C1C(=C)C=C)N;3/000000321;InChI=1S/C13H16N2O4/c1-3-8(2)11-5-4-10(16)6-9(11)7-19-15-13(18)12(14)17/h3-6,12,16-17H,1-2,7,14H2,(H,15,18)/t12-/m1/s1;C13H16N2O4;264;0.55;3.56;-6.47;5.09;-170
OC1=CC=C(C=C1)CC#CC1C(I)=CN=C(C=1Cl)N;3/000000129;InChI=1S/C14H10ClIN2O/c15-13-11(12(16)8-18-14(13)17)3-1-2-9-4-6-10(19)7-5-9/h4-8,19H,2H2,(H2,17,18);C14H10N2OClI;384;4.38;4.04;-6.08;16.40;0
S[C@@H](C)C(=C)C1C=C(F)C=C(C=1F)[S@](=O)O;3/000000018;InChI=1S/C10H10F2O2S2/c1-5(6(2)15)8-3-7(11)4-9(10(8)12)16(13)14/h3-4,6,15H,1H2,2H3,(H,13,14)/t6-/m0/s1;C10H10O2S2F2;264;1.16;3.21;-7.62;18.90;-190
SC1=NN=C(O1)[C@@H]([NH3+])C1=NOC(=O)N1;3/000000356;InChI=1S/C5H5N5O3S/c6-1(2-7-4(11)13-10-2)3-8-9-5(14)12-3/h1H,6H2,(H,9,14)(H,7,10,11)/p+1/t1-/m0/s1;C5H6N5O3S;216;0.00;3.51;-2.13;21.40;-150
OC1=CC=C(C(=C1)C(=O)CO)C1=C(Cl)C=NN1;3/000000112;InChI=1S/C11H9ClN2O3/c12-9-4-13-14-11(9)7-2-1-6(16)3-8(7)10(17)5-15/h1-4,15-16H,5H2,(H,13,14);C11H9N2O3Cl;252;1.68;3.24;-7.23;5.09;-120
O[S@@](=O)C1=CC=CC(=C1)C(S)(F)F;3/000000037;InChI=1S/C7H6F2O2S2/c8-7(9,12)5-2-1-3-6(4-5)13(10)11/h1-4,12H,(H,10,11);C7H6O2S2F2;224;0.30;3.01;-6.83;16.10;-150
OC1=CC=C(C(=C1)C1=CC=CC(=C1)C(=O)N)CC(=C)C;3/000000151;InChI=1S/C17H17NO2/c1-11(2)8-13-6-7-15(19)10-16(13)12-4-3-5-14(9-12)17(18)20/h3-7,9-10,19H,1,8H2,2H3,(H2,18,20);C17H17NO2;267;2.95;3.81;-11.59;5.09;-200
OC1=CC=C(C(=C1)Br)C1=CC(=NN1)C(=O)N;3/000000278;InChI=1S/C10H8BrN3O2/c11-7-3-5(15)1-2-6(7)8-4-9(10(12)16)14-13-8/h1-4,15H,(H2,12,16)(H,13,14);C10H8N3O2Br;282;1.94;3.30;-8.11;2.22;-180
OC1=CC=C(C(=C1)Br)CC(=O)C[C@H](CO)F;3/000000329;InChI=1S/C11H12BrFO3/c12-11-5-9(15)2-1-7(11)3-10(16)4-8(13)6-14/h1-2,5,8,14-15H,3-4,6H2/t8-/m1/s1;C11H12O3FBr;291;1.73;3.06;-6.09;3.58;-150
OC1=CC=C(C(=C1)Br)C(=O)[N]C(=[NH2])N;3/000000310;InChI=1S/C8H8BrN3O2/c9-6-3-4(13)1-2-5(6)7(14)12-8(10)11/h1-3,13H,10-11H2;C8H8N3O2Br;258;0.78;3.16;-7.14;2.35;0
SSC1C=C(C2=CC=C(C=C2)O)C=C(C=1O)N;3/000000094;InChI=1S/C12H11NO2S2/c13-10-5-8(6-11(17-16)12(10)15)7-1-3-9(14)4-2-7/h1-6,14-16H,13H2;C12H11NO2S2;265;2.97;3.46;-10.56;14.00;-200
OC1=CC=C(C=C1)C(=C)/C=C/[C@H]1SCCNC1;3/000000058;InChI=1S/C14H17NOS/c1-11(12-3-5-13(16)6-4-12)2-7-14-10-15-8-9-17-14/h2-7,14-16H,1,8-10H2/b7-2+/t14-/m1/s1;C14H17NOS;247;2.59;3.21;-10.41;3.58;-150
O[S@@](=O)C1=CC=C(C(=C1)C(S)(F)F)OCC;3/000000206;InChI=1S/C9H10F2O3S2/c1-2-14-8-4-3-6(16(12)13)5-7(8)9(10,11)15/h3-5,15H,2H2,1H3,(H,12,13);C9H10O3S2F2;268;0.64;3.11;-7.62;18.50;-190
OC1=CC=C(C=C1N)C1=CC=C(C=C1CF)O;3/000000098;InChI=1S/C13H12FNO2/c14-7-9-5-10(16)2-3-11(9)8-1-4-13(17)12(15)6-8/h1-6,16-17H,7,15H2;C13H12NO2F;233;2.66;3.42;-8.18;12.30;-200
OC1=C(Br)C=C(C=C1Br)[S@](=O)NC(=O)CCC;3/000000013;InChI=1S/C10H11Br2NO3S/c1-2-3-9(14)13-17(16)6-4-7(11)10(15)8(12)5-6/h4-5,15H,2-3H2,1H3,(H,13,14)/t17-/m0/s1;C10H11NO3SBr2;385;1.75;3.07;-10.76;2.48;-20
OC1=CC(/[NH]=C/2\[N]C=NN2)=CC(=C1)C1=C(Cl)N=CN1;3/000000229;InChI=1S/C11H9ClN6O/c12-10-9(13-4-14-10)6-1-7(3-8(19)2-6)17-11-15-5-16-18-11/h1-5,17-19H,(H,13,14)/b17-11+;C11H9N6OCl;276;2.03;3.64;-6.19;21.50;-120
OC1=CC=CC(=C1)C1=C(Cl)N=C(N1)C;3/000000280;InChI=1S/C10H9ClN2O/c1-6-12-9(10(11)13-6)7-3-2-4-8(14)5-7/h2-5,14H,1H3,(H,12,13);C10H9N2OCl;208;2.69;3.58;-5.19;2.22;-140
OC1=CC=C(C=C1CBr)C1=CCC=C(N1)CC(=O)OC;3/000000368;InChI=1S/C15H16BrNO3/c1-20-15(19)8-12-3-2-4-13(17-12)10-5-6-14(18)11(7-10)9-16/h3-7,17-18H,2,8-9H2,1H3;C15H16NO3Br;338;3.40;3.71;-9.03;3.58;-180
OC1=CC=C(C=C1)CC#CC1C(I)=CN=C(C=1Cl)N;3/000000134;InChI=1S/C14H10ClIN2O/c15-13-11(12(16)8-18-14(13)17)3-1-2-9-4-6-10(19)7-5-9/h4-8,19H,2H2,(H2,17,18);C14H10N2OClI;384;4.38;4.48;-5.80;16.40;0
OC1=CC=C(C=C1CBr)C1=CCC=C(N1)CC(=O)OC;3/000000366;InChI=1S/C15H16BrNO3/c1-20-15(19)8-12-3-2-4-13(17-12)10-5-6-14(18)11(7-10)9-16/h3-7,17-18H,2,8-9H2,1H3;C15H16NO3Br;338;3.40;3.68;-8.44;3.58;-180
OC1=CC=C(C(=C1)C1=C[N]C(=[NH2])N1)C(=C)/C=C/CC;3/000000307;InChI=1S/C15H17N3O/c1-3-4-5-10(2)12-7-6-11(19)8-13(12)14-9-17-15(16)18-14/h4-9,18-19H,2-3,16H2,1H3/b5-4+;C15H17N3O;255;2.46;3.77;-11.76;5.09;-140
OC1=C(Br)C=C(C=C1Br)[S@](=O)[C@H]1C=NNC1=O;3/000000026;InChI=1S/C9H6Br2N2O3S/c10-5-1-4(2-6(11)8(5)14)17(16)7-3-12-13-9(7)15/h1-3,7,14H,(H,13,15)/t7-,17-/m0/s1;C9H6N2O3SBr2;382;1.26;3.34;-7.40;19.80;-150
OC1=CC=C(C=C1[C@H](CC1=NC=CN1)O)C(=C)C=C;3/000000224;InChI=1S/C15H16N2O2/c1-3-10(2)11-4-5-13(18)12(8-11)14(19)9-15-16-6-7-17-15/h3-8,14,18-19H,1-2,9H2,(H,16,17)/t14-/m0/s1;C15H16N2O2;256;1.67;4.07;-4.27;17.10;-150
OC1=C(Br)C=C(C=C1Br)[S@](=O)NC(=O)CCC;3/000000015;InChI=1S/C10H11Br2NO3S/c1-2-3-9(14)13-17(16)6-4-7(11)10(15)8(12)5-6/h4-5,15H,2-3H2,1H3,(H,13,14)/t17-/m0/s1;C10H11NO3SBr2;385;1.75;3.07;-11.03;2.48;-20
OC1=CC=C(C(=C1)Br)[C@@H](C(=O)C)NC=S;3/000000220;InChI=1S/C10H10BrNO2S/c1-6(13)10(12-5-15)8-3-2-7(14)4-9(8)11/h2-5,10,14H,1H3,(H,12,15)/t10-/m1/s1;C10H10NO2SBr;288;1.60;3.15;-9.04;15.00;-170
OC1=CC=C(C(=C1)Br)C1=CC(=NN1)C(=O)N;3/000000277;InChI=1S/C10H8BrN3O2/c11-7-3-5(15)1-2-6(7)8-4-9(10(12)16)14-13-8/h1-4,15H,(H2,12,16)(H,13,14);C10H8N3O2Br;282;1.94;3.31;-8.94;2.22;-180
S[C@@H](C)C(=C)C1C=C(F)C=C(C=1F)[S@](=O)O;3/000000017;InChI=1S/C10H10F2O2S2/c1-5(6(2)15)8-3-7(11)4-9(10(8)12)16(13)14/h3-4,6,15H,1H2,2H3,(H,13,14)/t6-/m0/s1;C10H10O2S2F2;264;1.16;3.18;-7.03;18.90;-170
OC1=CC=CC(=C1)/C=C/CC[C@@H](C)O;3/000000234;InChI=1S/C12H16O2/c1-10(13)5-2-3-6-11-7-4-8-12(14)9-11/h3-4,6-10,13-14H,2,5H2,1H3/b6-3+/t10-/m1/s1;C12H16O2;192;2.38;3.12;-8.33;5.09;-190
OC1=CC=C(C(=C1)Br)[C@@H](C(=O)C)NC=S;3/000000219;InChI=1S/C10H10BrNO2S/c1-6(13)10(12-5-15)8-3-2-7(14)4-9(8)11/h2-5,10,14H,1H3,(H,12,15)/t10-/m1/s1;C10H10NO2SBr;288;1.60;3.11;-8.98;15.00;-170
S(=O)C1=C(F)C=C(C=C1Cl)CCCNN;3/000000202;InChI=1S/C9H12ClFN2OS/c10-7-4-6(2-1-3-13-12)5-8(11)9(7)15-14/h4-5,13,15H,1-3,12H2;C9H12N2OSFCl;250;0.40;3.08;-9.22;2.48;-20
OC1=CC=C(C(=C1)CO)C1=C(Cl)C=NN1;3/000000108;InChI=1S/C10H9ClN2O2/c11-9-4-12-13-10(9)8-2-1-7(15)3-6(8)5-14/h1-4,14-15H,5H2,(H,12,13);C10H9N2O2Cl;224;2.07;3.25;-5.96;2.22;-120
OC1=CC=C(C(=C1)CCl)C(=C)/C=C/C[C@H](C)N;3/000000324;InChI=1S/C14H18ClNO/c1-10(4-3-5-11(2)16)14-7-6-13(17)8-12(14)9-15/h3-4,6-8,11,17H,1,5,9,16H2,2H3/b4-3+/t11-/m0/s1;C14H18NOCl;251;2.85;3.48;-10.40;3.58;-170
OC1=CC=CC(=C1)CSCC1=NNC(=O)O1;3/000000077;InChI=1S/C10H10N2O3S/c13-8-3-1-2-7(4-8)5-16-6-9-11-12-10(14)15-9/h1-4,13H,5-6H2,(H,12,14);C10H10N2O3S;238;2.15;3.34;-4.68;16.70;0
SCCNC(=O)NC1=CC(O)=CC=C1C(=C)C=C;3/000000265;InChI=1S/C13H16N2O2S/c1-3-9(2)11-5-4-10(16)8-12(11)15-13(17)14-6-7-18/h3-5,8,16,18H,1-2,6-7H2,(H2,14,15,17);C13H16N2O2S;264;2.13;3.46;-7.84;3.58;0
OC1=CC=CC(=C1)C1C=C(C(=O)N)C=C(C=1)N(=O)=O;3/000000050;InChI=1S/C13H10N2O4/c14-13(17)10-4-9(5-11(6-10)15(18)19)8-2-1-3-12(16)7-8/h1-7,16H,(H2,14,17);C13H10N2O4;258;2.34;4.11;-7.08;2.22;-180
O[S@@](=O)C1=CC(F)=CC(=C1F)[C@H](C)O;3/000000008;InChI=1S/C8H8F2O3S/c1-4(11)6-2-5(9)3-7(8(6)10)14(12)13/h2-4,11H,1H3,(H,12,13)/t4-/m0/s1;C8H8O3SF2;222;-0.22;3.06;-5.73;15.40;-170
OC1=CC=CC(=C1)/C=C/CC[C@@H](C)O;3/000000235;InChI=1S/C12H16O2/c1-10(13)5-2-3-6-11-7-4-8-12(14)9-11/h3-4,6-10,13-14H,2,5H2,1H3/b6-3+/t10-/m1/s1;C12H16O2;192;2.38;3.15;-8.63;5.09;-190
OC1=CC=C(C=C1N)C1=CC=C(C=C1CF)O;3/000000097;InChI=1S/C13H12FNO2/c14-7-9-5-10(16)2-3-11(9)8-1-4-13(17)12(15)6-8/h1-6,16-17H,7,15H2;C13H12NO2F;233;2.66;3.40;-7.97;12.30;-200
OC1=CC=C(C=C1CO)C1=CCC=CN1;3/000000350;InChI=1S/C12H13NO2/c14-8-10-7-9(4-5-12(10)15)11-3-1-2-6-13-11/h2-7,13-15H,1,8H2;C12H13NO2;203;2.03;3.66;-4.63;2.22;-160
OC1=CC=C(C=C1CO)C1=CCC=CN1;3/000000354;InChI=1S/C12H13NO2/c14-8-10-7-9(4-5-12(10)15)11-3-1-2-6-13-11/h2-7,13-15H,1,8H2;C12H13NO2;203;2.03;3.53;-5.35;2.22;-160
OC1=CC=C(C=C1)C(=C)/C=C/C1=CN=C(N1)CO;3/000000231;InChI=1S/C14H14N2O2/c1-10(11-3-6-13(18)7-4-11)2-5-12-8-15-14(9-17)16-12/h2-8,17-18H,1,9H2,(H,15,16)/b5-2+;C14H14N2O2;242;1.41;3.64;-9.88;3.58;0
OC1=CC=C(C(=C1)N[C](N)N)C1=CNC(=[NH2])[N]1;3/000000072;InChI=1S/C10H13N6O/c11-9(12)15-7-3-5(17)1-2-6(7)8-4-14-10(13)16-8/h1-4,14-15,17H,11-13H2;C10H13N6O;233;-0.04;3.63;-6.67;17.20;-140
OC1=CC=C(C(=C1)S(=O)=O)/C(=C/C[C@H](C)S)/C=C;3/000000292;InChI=1S/C13H16O3S2/c1-3-10(5-4-9(2)17)12-7-6-11(14)8-13(12)18(15)16/h3,5-9,14,17-18H,1,4H2,2H3/b10-5+/t9-/m0/s1;C13H16O3S2;284;2.67;3.43;-9.74;17.80;-170
OC1=C(Br)C=C(C=C1Br)[S@](=O)[C@H]1C=NNC1=O;3/000000028;InChI=1S/C9H6Br2N2O3S/c10-5-1-4(2-6(11)8(5)14)17(16)7-3-12-13-9(7)15/h1-3,7,14H,(H,13,15)/t7-,17-/m0/s1;C9H6N2O3SBr2;382;1.26;3.27;-7.56;19.80;-150
OC1=CC=C(C=C1CBr)C1=CCC=C(N1)CC(=O)OC;3/000000361;InChI=1S/C15H16BrNO3/c1-20-15(19)8-12-3-2-4-13(17-12)10-5-6-14(18)11(7-10)9-16/h3-7,17-18H,2,8-9H2,1H3;C15H16NO3Br;338;3.40;3.74;-5.88;3.58;-180
OC1=CC=C(C=C1CBr)C1=CCC=C(N1)CC(=O)OC;3/000000359;InChI=1S/C15H16BrNO3/c1-20-15(19)8-12-3-2-4-13(17-12)10-5-6-14(18)11(7-10)9-16/h3-7,17-18H,2,8-9H2,1H3;C15H16NO3Br;338;3.40;3.73;-4.99;3.58;-200
OC1=CC=C(C=C1CBr)C1=CCC=C(N1)CC(=O)OC;3/000000365;InChI=1S/C15H16BrNO3/c1-20-15(19)8-12-3-2-4-13(17-12)10-5-6-14(18)11(7-10)9-16/h3-7,17-18H,2,8-9H2,1H3;C15H16NO3Br;338;3.40;3.70;-9.15;3.58;-180
OC1=CC=C(C(=C1)CCCl)C(=C)/C=C/C1=CN=CN1;3/000000301;InChI=1S/C15H15ClN2O/c1-11(2-3-13-9-17-10-18-13)15-5-4-14(19)8-12(15)6-7-16/h2-5,8-10,19H,1,6-7H2,(H,17,18)/b3-2+;C15H15N2OCl;274;3.04;3.68;-7.73;5.09;0
OC1=CC=C(C=C1[C@H](CC1=NC=CN1)O)C(=C)C=C;3/000000221;InChI=1S/C15H16N2O2/c1-3-10(2)11-4-5-13(18)12(8-11)14(19)9-15-16-6-7-17-15/h3-8,14,18-19H,1-2,9H2,(H,16,17)/t14-/m0/s1;C15H16N2O2;256;1.67;4.12;-5.79;17.10;-150
OC1=CC=C(C=C1)C(=C)/C=C/C1=C(N=CN1)C1=NNN=C1;3/000000319;InChI=1S/C15H13N5O/c1-10(11-3-5-12(21)6-4-11)2-7-13-15(17-9-16-13)14-8-18-20-19-14/h2-9,21H,1H2,(H,16,17)(H,18,19,20)/b7-2+;C15H13N5O;279;3.53;3.79;-11.32;23.70;-80
