SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
O=C(C[NH3+])NC1C=C(Br)C=C(C=1)C1=C(Cl)C=NN1;3/000000492;InChI=1S/C11H10BrClN4O/c12-7-1-6(11-9(13)5-15-17-11)2-8(3-7)16-10(18)4-14/h1-3,5H,4,14H2,(H,15,17)(H,16,18)/p+1;C11H11N4OClBr;330;2.23;3.92;-6.36;3.58;-160
OC/C=C\1/NC2C(C1)=CC=C(C=2)CC(=O)C;3/000000011;InChI=1S/C13H15NO2/c1-9(16)6-10-2-3-11-8-12(4-5-15)14-13(11)7-10/h2-4,7,14-15H,5-6,8H2,1H3/b12-4+;C13H15NO2;217;1.21;3.13;-2.09;3.58;-100
C1C(=CC=C2C=1C/C(=C\C(N)N)/N2)CN;3/000000005;InChI=1S/C11H16N4/c12-6-7-1-2-10-8(3-7)4-9(15-10)5-11(13)14/h1-3,5,11,15H,4,6,12-14H2/b9-5+;C11H16N4;204;0.04;3.50;-1.71;12.40;-190
N1CC=C(N(C1)C1C=NC(=CC=1C=C)CCl)C(=O)[O-];3/000000230;InChI=1S/C13H14ClN3O2/c1-2-9-5-10(6-14)16-7-12(9)17-8-15-4-3-11(17)13(18)19/h2-3,5,7,15H,1,4,6,8H2,(H,18,19)/p-1;C13H13N3O2Cl;278;1.33;3.45;-4.24;18.10;-160
N1CC=C(N(C1)C1C=NC(=CC=1CC)CCl)C(=O)[O-];3/000000367;InChI=1S/C13H16ClN3O2/c1-2-9-5-10(6-14)16-7-12(9)17-8-15-4-3-11(17)13(18)19/h3,5,7,15H,2,4,6,8H2,1H3,(H,18,19)/p-1;C13H15N3O2Cl;280;1.30;3.42;-3.23;17.10;-180
O=C(C[NH3+])NC1C=C(Br)C=CC=1OC(=O)C;3/000000539;InChI=1S/C10H11BrN2O3/c1-6(14)16-9-3-2-7(11)4-8(9)13-10(15)5-12/h2-4H,5,12H2,1H3,(H,13,15)/p+1;C10H12N2O3Br;288;0.75;3.68;-4.75;2.48;-40
C#CCC(=O)NC1=CC=C(C(=C1)Cl)CN;3/000000503;InChI=1S/C11H11ClN2O/c1-2-3-11(15)14-9-5-4-8(7-13)10(12)6-9/h1,4-6H,3,7,13H2,(H,14,15);C11H11N2OCl;222;1.11;3.18;-5.69;2.22;0
N1C2=CC(OC)=CC=C2C/C/1=C\CCNCC;3/000000437;InChI=1S/C14H20N2O/c1-3-15-8-4-5-12-9-11-6-7-13(17-2)10-14(11)16-12/h5-7,10,15-16H,3-4,8-9H2,1-2H3/b12-5+;C14H20N2O;232;2.34;3.22;1.32;12.60;-120
N1CC=C(N(C1)C1=CC=C(C=C1)CCCOC)C(=O)[O-];3/000000345;InChI=1S/C15H20N2O3/c1-20-10-2-3-12-4-6-13(7-5-12)17-11-16-9-8-14(17)15(18)19/h4-8,16H,2-3,9-11H2,1H3,(H,18,19)/p-1;C15H19N2O3;275;1.74;3.78;-1.03;16.60;-180
OC(=O)C/C=C\1/NC2C(C1)=CC=CC=2CCC;3/000000272;InChI=1S/C14H17NO2/c1-2-4-10-5-3-6-11-9-12(15-14(10)11)7-8-13(16)17/h3,5-7,15H,2,4,8-9H2,1H3,(H,16,17)/b12-7+;C14H17NO2;231;2.59;4.20;-3.21;3.58;-80
C1=CCNCN1[C@@](CC#CC1=C(Cl)N=CN1)(C(=O)CC)Cl;3/000000226;InChI=1S/C14H16Cl2N4O/c1-2-12(21)14(16,20-8-4-7-17-10-20)6-3-5-11-13(15)19-9-18-11/h4,8-9,17H,2,6-7,10H2,1H3,(H,18,19)/t14-/m0/s1;C14H16N4OCl2;326;2.17;3.86;-5.62;3.58;-170
OC(=O)C/C=C\1/NC2C(C1)=CC=CC=2;3/000000052;InChI=1S/C11H11NO2/c13-11(14)6-5-9-7-8-3-1-2-4-10(8)12-9/h1-5,12H,6-7H2,(H,13,14)/b9-5+;C11H11NO2;189;1.76;3.35;-2.06;2.22;-40
[O-]C(=O)C1=CCNCN1C1C=CC(=CC=1CBr)CC;3/000000256;InChI=1S/C14H17BrN2O2/c1-2-10-3-4-12(11(7-10)8-15)17-9-16-6-5-13(17)14(18)19/h3-5,7,16H,2,6,8-9H2,1H3,(H,18,19)/p-1;C14H16N2O2Br;324;2.80;3.46;-3.25;16.50;-180
N1CC=C(N(C1)C1C=CC(=CC=1)CC)C(=O)[O-];3/000000237;InChI=1S/C13H16N2O2/c1-2-10-3-5-11(6-4-10)15-9-14-8-7-12(15)13(16)17/h3-7,14H,2,8-9H2,1H3,(H,16,17)/p-1;C13H15N2O2;231;2.00;3.09;-3.77;14.20;-180
C1=CC=C2C(=C1)N/C(=C/CC(=O)CC(=O)NC)/C2;3/000000295;InChI=1S/C14H16N2O2/c1-15-14(18)9-12(17)7-6-11-8-10-4-2-3-5-13(10)16-11/h2-6,16H,7-9H2,1H3,(H,15,18)/b11-6+;C14H16N2O2;244;1.01;3.63;-3.74;2.22;-60
OC(=O)C/C=C\1/NC2C(C1)=CC=C(C=2)CC(=O)C;3/000000019;InChI=1S/C14H15NO3/c1-9(16)6-10-2-3-11-8-12(4-5-14(17)18)15-13(11)7-10/h2-4,7,15H,5-6,8H2,1H3,(H,17,18)/b12-4+;C14H15NO3;245;1.45;4.11;-3.98;3.58;-120
C1=CC=C(C=C1OC)N1C(=CCNC1)C(=O)[O-];3/000000351;InChI=1S/C12H14N2O3/c1-17-10-4-2-3-9(7-10)14-8-13-6-5-11(14)12(15)16/h2-5,7,13H,6,8H2,1H3,(H,15,16)/p-1;C12H13N2O3;233;1.43;3.40;-2.03;14.80;-180
OC(=O)C/C=C\1/NC2C(C1)=CC(=CC=2)CC(=O)N;3/000000116;InChI=1S/C13H14N2O3/c14-12(16)6-8-1-3-11-9(5-8)7-10(15-11)2-4-13(17)18/h1-3,5,15H,4,6-7H2,(H2,14,16)(H,17,18)/b10-2+;C13H14N2O3;246;0.46;4.01;-2.26;3.58;-60
C1=NC(=CC=C1N1C(=CCNC1)C(=O)[O-])CCl;3/000000041;InChI=1S/C11H12ClN3O2/c12-5-8-1-2-9(6-14-8)15-7-13-4-3-10(15)11(16)17/h1-3,6,13H,4-5,7H2,(H,16,17)/p-1;C11H11N3O2Cl;252;0.82;3.19;-3.25;15.90;-160
[O-]C(=O)C1=CCNCN1C1C=CC(=CC=1CBr)CC;3/000000363;InChI=1S/C14H17BrN2O2/c1-2-10-3-4-12(11(7-10)8-15)17-9-16-6-5-13(17)14(18)19/h3-5,7,16H,2,6,8-9H2,1H3,(H,18,19)/p-1;C14H16N2O2Br;324;2.80;3.46;-3.25;16.50;-180
OC(=O)CNC(=O)C/C=C\1/NC2C(C1)=CC=C(C=2)CC;3/000000302;InChI=1S/C15H18N2O3/c1-2-10-3-4-11-8-12(17-13(11)7-10)5-6-14(18)16-9-15(19)20/h3-5,7,17H,2,6,8-9H2,1H3,(H,16,18)(H,19,20)/b12-5+;C15H18N2O3;274;1.41;3.69;-4.74;3.58;-60
C1C(=CC=C2C=1C/C(=C\CCOCN)/N2)CCl;3/000000281;InChI=1S/C13H17ClN2O/c14-8-10-3-4-13-11(6-10)7-12(16-13)2-1-5-17-9-15/h2-4,6,16H,1,5,7-9,15H2/b12-2+;C13H17N2OCl;252;2.02;3.32;-3.07;2.35;-60
OC1=CC=C(C=C1Br)NC(=O)C[NH3+];3/000000533;InChI=1S/C8H9BrN2O2/c9-6-3-5(1-2-7(6)12)11-8(13)4-10/h1-3,12H,4,10H2,(H,11,13)/p+1;C8H10N2O2Br;246;0.56;3.49;-2.09;2.22;0
OC(=O)C/C=C\1/NC2C(C1)=CC=CC=2C;3/000000263;InChI=1S/C12H13NO2/c1-8-3-2-4-9-7-10(13-12(8)9)5-6-11(14)15/h2-5,13H,6-7H2,1H3,(H,14,15)/b10-5+;C12H13NO2;203;1.98;4.03;-1.88;3.58;-60
OC(=O)C1C=CC=C2C=1N/C(=C/CC(=O)NC)/C2;3/000000163;InChI=1S/C13H14N2O3/c1-14-11(16)6-5-9-7-8-3-2-4-10(13(17)18)12(8)15-9/h2-5,15H,6-7H2,1H3,(H,14,16)(H,17,18)/b9-5+;C13H14N2O3;246;1.16;4.47;-3.34;3.58;-60
C1=NC(=CC=C1N1C(=CCNC1)C(=O)[O-])CCl;3/000000042;InChI=1S/C11H12ClN3O2/c12-5-8-1-2-9(6-14-8)15-7-13-4-3-10(15)11(16)17/h1-3,6,13H,4-5,7H2,(H,16,17)/p-1;C11H11N3O2Cl;252;0.82;3.19;-4.32;15.90;-160
OC(=O)C/C=C\1/NC2C(C1)=CC(=CC=2)CC(=O)N;3/000000106;InChI=1S/C13H14N2O3/c14-12(16)6-8-1-3-11-9(5-8)7-10(15-11)2-4-13(17)18/h1-3,5,15H,4,6-7H2,(H2,14,16)(H,17,18)/b10-2+;C13H14N2O3;246;0.46;4.24;-1.17;3.58;-60
OC(=O)C/C=C\1/NC2C(C1)=CC(=CC=2)CCCC;3/000000093;InChI=1S/C15H19NO2/c1-2-3-4-11-5-7-14-12(9-11)10-13(16-14)6-8-15(17)18/h5-7,9,16H,2-4,8,10H2,1H3,(H,17,18)/b13-6+;C15H19NO2;245;2.95;3.99;-4.01;3.72;-100
C1=CN=C(N=C1CCNC(=O)C/C=C\1/NC2C(C1)=CC=C(C=2)CC)N;3/000000198;InChI=1S/C19H23N5O/c1-2-13-3-4-14-12-16(23-17(14)11-13)5-6-18(25)21-9-7-15-8-10-22-19(20)24-15/h3-5,8,10-11,23H,2,6-7,9,12H2,1H3,(H,21,25)(H2,20,22,24)/b16-5+;C19H23N5O;337;1.60;4.65;-3.81;5.09;-60
OC(=O)C1C=CC=C2C=1N/C(=C/CC(=O)NCCC(=O)NC)/C2;3/000000473;InChI=1S/C16H19N3O4/c1-17-13(20)7-8-18-14(21)6-5-11-9-10-3-2-4-12(16(22)23)15(10)19-11/h2-5,19H,6-9H2,1H3,(H,17,20)(H,18,21)(H,22,23)/b11-5+;C16H19N3O4;317;0.49;4.52;-4.30;4.94;-60
N1C2=CC(=CC=C2C/C/1=C\CC(=O)NCCOC)CC;3/000000069;InChI=1S/C16H22N2O2/c1-3-12-4-5-13-11-14(18-15(13)10-12)6-7-16(19)17-8-9-20-2/h4-6,10,18H,3,7-9,11H2,1-2H3,(H,17,19)/b14-6+;C16H22N2O2;274;1.84;3.60;-7.11;3.58;-140
OC(=O)C/C=C\1/NC2C(C1)=CC(=CC=2)CC(=O)N;3/000000164;InChI=1S/C13H14N2O3/c14-12(16)6-8-1-3-11-9(5-8)7-10(15-11)2-4-13(17)18/h1-3,5,15H,4,6-7H2,(H2,14,16)(H,17,18)/b10-2+;C13H14N2O3;246;0.46;4.01;-2.26;3.58;-60
[O-]C(=O)C1=CCNCN1C1C=NC(=CC=1/C=C/CN)CCl;3/000000387;InChI=1S/C14H17ClN4O2/c15-7-11-6-10(2-1-4-16)13(8-18-11)19-9-17-5-3-12(19)14(20)21/h1-3,6,8,17H,4-5,7,9,16H2,(H,20,21)/p-1/b2-1+;C14H16N4O2Cl;307;0.54;3.94;-3.93;20.10;-200
C=C1NC2C(C1)=CC(=CC=2)[C@@H](CN)N;3/000000016;InChI=1S/C11H15N3/c1-7-4-9-5-8(10(13)6-12)2-3-11(9)14-7/h2-3,5,10,14H,1,4,6,12-13H2/t10-/m1/s1;C11H15N3;189;0.69;3.19;-0.37;11.00;-190
N1C2=CC(OC)=CC=C2C/C/1=C\CCN;3/000000314;InChI=1S/C12H16N2O/c1-15-11-5-4-9-7-10(3-2-6-13)14-12(9)8-11/h3-5,8,14H,2,6-7,13H2,1H3/b10-3+;C12H16N2O;204;1.53;3.22;-2.13;11.40;-60
OC(=O)C/C=C\1/NC2C(C1)=CC(=CC=2)CC(=O)N;3/000000268;InChI=1S/C13H14N2O3/c14-12(16)6-8-1-3-11-9(5-8)7-10(15-11)2-4-13(17)18/h1-3,5,15H,4,6-7H2,(H2,14,16)(H,17,18)/b10-2+;C13H14N2O3;246;0.46;4.01;-2.26;3.58;-60
[O-]C(=O)C1=CCNCN1C1C=NC(=CC=1/C=C/CN)CCl;3/000000388;InChI=1S/C14H17ClN4O2/c15-7-11-6-10(2-1-4-16)13(8-18-11)19-9-17-5-3-12(19)14(20)21/h1-3,6,8,17H,4-5,7,9,16H2,(H,20,21)/p-1/b2-1+;C14H16N4O2Cl;307;0.54;4.01;-4.05;20.10;-200
N1CC=C(N(C1)C1C=CC=CC=1)C(=O)[O-];3/000000047;InChI=1S/C11H12N2O2/c14-11(15)10-6-7-12-8-13(10)9-4-2-1-3-5-9/h1-6,12H,7-8H2,(H,14,15)/p-1;C11H11N2O2;203;1.52;3.12;-3.85;13.00;-180
C1=CC=C2C(=C1)N/C(=C/CC(=O)CC(=O)NC)/C2;3/000000422;InChI=1S/C14H16N2O2/c1-15-14(18)9-12(17)7-6-11-8-10-4-2-3-5-13(10)16-11/h2-6,16H,7-9H2,1H3,(H,15,18)/b11-6+;C14H16N2O2;244;1.01;3.63;-3.74;2.22;-60
C1=C(Cl)N=C(N1)C#C[C@@H](CCN(CC)CN)N;3/000000208;InChI=1S/C11H18ClN5/c1-2-17(8-13)6-5-9(14)3-4-11-15-7-10(12)16-11/h7,9H,2,5-6,8,13-14H2,1H3,(H,15,16)/t9-/m0/s1;C11H18N5Cl;255;0.80;3.52;-4.21;3.58;-170
O=C(C[NH3+])NC1C=C(Br)C=CC=1OC(=O)C;3/000000536;InChI=1S/C10H11BrN2O3/c1-6(14)16-9-3-2-7(11)4-8(9)13-10(15)5-12/h2-4H,5,12H2,1H3,(H,13,15)/p+1;C10H12N2O3Br;288;0.75;3.68;-4.45;2.48;-20
[O-]C(=O)C1=CCNCN1C1C=CC(=CC=1)CCC(=O)[O-];3/000000390;InChI=1S/C14H16N2O4/c17-13(18)6-3-10-1-4-11(5-2-10)16-9-15-8-7-12(16)14(19)20/h1-2,4-5,7,15H,3,6,8-9H2,(H,17,18)(H,19,20)/p-2;C14H14N2O4;274;0.71;3.65;-1.93;18.20;-180
